Year	Domain	Name	Nationality	Gender
1980	Chemistry	 Walter Gilbert 	USA	Male
1980	Chemistry	 Frederick Sanger 	UK	Male
1980	Economics	 Lawrence R. Klein 	USA	Male
1980	Literature	 Czeslaw Milosz 	Poland, USA	Male
1980	Medicine	 Baruj Benacerraf 	USA	Male
1980	Medicine	 Jean Dausset 	France	Male
1980	Medicine	 George D. Snell 	USA	Male
1980	Peace	 Adolfo Perez Esquivel 	Argentina	Male
1980	Physics	 James Cronin 	USA	Male
1980	Physics	 Val Fitch 	USA	Male
1979	Chemistry	 Herbert C. Brown 	USA	Male
1979	Chemistry	 Georg Wittig 	Germany	Male
1979	Economics	 Sir Arthur Lewis 	UK	Male
1979	Economics	 Theodore W. Schultz 	USA	Male
1979	Literature	 Odysseus Elytis 	Greece	Male
1979	Medicine	 Allan M. Cormack 	USA	Male
1979	Medicine	 Godfrey N. Hounsfield 	UK	Male
1979	Peace	 Mother Teresa 	India	Female
1979	Physics	 Sheldon Glashow 	USA	Male
1979	Physics	 Abdus Salam 	Pakistan	Male
1979	Physics	 Steven Weinberg 	USA	Male
1978	Chemistry	 Peter Mitchell 	UK	Male
1978	Economics	 Herbert A. Simon 	USA	Male
1978	Literature	 Isaac Bashevis Singer 	USA	Male
1978	Medicine	 Werner Arber 	USA	Male
1978	Medicine	 Daniel Nathans 	USA	Male
1978	Medicine	 Hamilton O. Smith 	USA	Male
1978	Peace	 Anwar al-Sadat 	Egypt	Male
1978	Peace	 Menachem Begin 	Israel	Male
1978	Physics	 Pyotr Kapitsa 	USA	Male
1978	Physics	 Arno Penzias 	USA	Male
1978	Physics	 Robert Woodrow Wilson 	USA	Male
1977	Chemistry	 Ilya Prigogine 	Belgium	Male
1977	Economics	 James E. Meade 	UK	Male
1977	Economics	 Bertil Ohlin 	Sweden	Male
1977	Literature	 Vicente Aleixandre 	Spain	Male
1977	Medicine	 Roger Guillemin 	USA	Male
1977	Medicine	 Andrew V. Schally 	USA	Male
1977	Medicine	 Rosalyn Yalow 	USA	Female
1977	Peace	 Amnesty International 	UK	Organization
1977	Physics	 Philip W. Anderson 	USA	Male
1977	Physics	 Sir Nevill F. Mott 	UK	Male
1977	Physics	 John H. van Vleck 	USA	Male
1976	Chemistry	 William Lipscomb 	USA	Male
1976	Economics	 Milton Friedman 	USA	Male
1976	Literature	 Saul Bellow 	USA	Male
1976	Medicine	 Baruch S. Blumberg 	USA	Male
1976	Medicine	 D. Carleton Gajdusek 	USA	Male
1976	Peace	 Mairead Corrigan 	UK	Female
1976	Peace	 Betty Williams 	UK	Female
1976	Physics	 Burton Richter 	USA	Male
1976	Physics	 Samuel C.C. Ting 	USA	Male
1975	Chemistry	 John Cornforth 	Australia, UK	Male
1975	Chemistry	 Vladimir Prelog 	Switzerland	Male
1975	Economics	 Leonid Vitaliyevich Kantorovich 	USSR	Male
1975	Economics	 Tjalling C. Koopmans 	USA	Male
1975	Literature	 Eugenio Montale 	Italy	Male
1975	Medicine	 David Baltimore 	USA	Male
1975	Medicine	 Renato Dulbecco 	USA	Male
1975	Medicine	 Howard M. Temin 	USA	Male
1975	Peace	 Andrei Sakharov 	USSR	Male
1975	Physics	 Aage N. Bohr 	Denmark	Male
1975	Physics	 Ben R. Mottelson 	Denmark	Male
1975	Physics	 James Rainwater 	USA	Male
1974	Chemistry	 Paul J. Flory 	USA	Male
1974	Economics	 Gunnar Myrdal 	Sweden	Male
1974	Economics	 Friedrich August von Hayek 	UK	Male
1974	Literature	 Eyvind Johnson 	Sweden	Male
1974	Literature	 Harry Martinson 	Sweden	Male
1974	Medicine	 Albert Claude 	Belgium	Male
1974	Medicine	 Christian de Duve 	Belgium	Male
1974	Medicine	 George E. Palade 	USA	Male
1974	Peace	 Sean MacBride 	Ireland	Male
1974	Peace	 Eisaku Sato 	Japan	Male
1974	Physics	 Antony Hewish 	UK	Male
1974	Physics	 Martin Ryle 	UK	Male
1973	Chemistry	 Ernst Otto Fischer 	Germany	Male
1973	Chemistry	 Geoffrey Wilkinson 	UK	Male
1973	Economics	 Wassily Leontief 	USA	Male
1973	Literature	 Patrick White 	Australia	Male
1973	Medicine	 Konrad Lorenz 	Austria	Male
1973	Medicine	 Nikolaas Tinbergen 	UK	Male
1973	Medicine	 Karl von Frisch 	Germany	Male
1973	Peace	 Le Duc Tho 	Vietnam	Male
1973	Peace	 Henry Kissinger 	USA	Male
1973	Physics	 Leo Esaki 	Japan	Male
1973	Physics	 Ivar Giaever 	USA	Male
1973	Physics	 Brian D. Josephson 	UK	Male
1972	Chemistry	 Christian Anfinsen 	USA	Male
1972	Chemistry	 Stanford Moore 	USA	Male
1972	Chemistry	 William H. Stein 	USA	Male
1972	Economics	 Kenneth J. Arrow 	USA	Male
1972	Economics	 John R. Hicks 	UK	Male
1972	Literature	 Heinrich Boll 	Germany	Male
1972	Medicine	 Gerald M. Edelman 	USA	Male
1972	Medicine	 Rodney R. Porter 	UK	Male
1972	Physics	 John Bardeen 	USA	Male
1972	Physics	 Leon N. Cooper 	USA	Male
1972	Physics	 Robert Schrieffer 	USA	Male
1971	Chemistry	 Gerhard Herzberg 	Canada	Male
1971	Economics	 Simon Kuznets 	USA	Male
1971	Literature	 Pablo Neruda 	Chile	Male
1971	Medicine	 Earl W. Sutherland, Jr.	USA	Male
1971	Peace	 Willy Brandt 	Germany	Male
1971	Physics	 Dennis Gabor 	UK	Male
1970	Chemistry	 Luis Leloir 	Argentina	Male
1970	Economics	 Paul A. Samuelson 	USA	Male
1970	Literature	 Alexandr Solzhenitsyn 	USSR	Male
1970	Medicine	 Julius Axelrod 	USA	Male
1970	Medicine	 Sir Bernard Katz 	UK	Male
1970	Medicine	 Ulf von Euler 	Sweden	Male
1970	Peace	 Norman Borlaug 	USA	Male
1970	Physics	 Hannes Alfven 	Sweden	Male
1970	Physics	 Louis Neel 	France	Male
1969	Chemistry	 Derek Barton 	UK	Male
1969	Chemistry	 Odd Hassel 	Norway	Male
1969	Economics	 Ragnar Frisch 	Norway	Male
1969	Economics	 Jan Tinbergen 	Netherlands	Male
1969	Literature	 Samuel Beckett 	Ireland	Male
1969	Medicine	 Max Delbruck 	USA	Male
1969	Medicine	 Alfred D. Hershey 	USA	Male
